nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7
Rôtisserie Benny & Co,"3700, boul. Dagenais O",Fabreville,,(450) 622-2204,1,Barbecue-BBQ,Rôtisserie,,,,,
Rôtisserie Benny,"5500, boul. Grande Allée",Saint-Hubert,,(450) 462-1060,1,Barbecue-BBQ,Rôtisserie,,,,,
Rôtisserie Benny & Co,"4795, boul. des Laurentides",Auteuil,,(450) 625-4443,1,Barbecue-BBQ,Rôtisserie,,,,,
Rôtisserie Benny & Co,"70, boul. de la Seigneurie O",Blainville,,(450) 433-4044,1,Barbecue-BBQ,Rôtisserie,,,,,
Le Tequila Bar,"972, boul. Décarie",Ville Saint-Laurent,,(514) 331-8753,1.5,Latino Américaine,Mexicaine,Pub Food,Fusion,,,
Le Tequila Bar,"4401, rue Notre-Dame O",Saint-Henri,,(514) 303-4401,1.5,Latino Américaine,Mexicaine,Pub Food,Fusion,,,
Green Traiteur & Café,"1408, rue Drummond",Centre-ville,,(514) 903-3344,1,Café,Sandwichs,Salades,Déjeuner,Desserts et Sucreries,Santé,
Green Traiteur & Café,"443, ave. Viger O",Vieux-Montréal,,(514) 508-8873,1,Déjeuner,Sandwichs,Santé,Salades,,,
Green Traiteur & Café,"8989, boul. de l'Acadie",Ahuntsic-Cartierville,Ville Saint-Laurent,(514) 824-9998,1,Déjeuner,Sandwichs,Santé,Salades,,,
L'Avenue,"3612, rue Notre-Dame O.",Saint-Henri,Le Sud Ouest,,2,Déjeuner,Bistro,,,,,
L'Avenue,"922, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 523-8780,2,Déjeuner,Bistro,,,,,
Mon Ami,"2081, rue Ste-Catherine",Centre-ville,Westmount,(514) 934-5500,1,Coréenne,Barbecue-BBQ,,,,,
Mon Ami Korean BBQ,"6521, ave. Somerled",Notre-Dame-de-Grâce (NDG),,(514) 488-2580,2,Coréenne,Barbecue-BBQ,,,,,
Mon Ami Express,"5889, ave. Victoria",Côte-des-Neiges,,(514) 738-3500,1,Coréenne,Barbecue-BBQ,,,,,
Mon Ami,"6290, ave. Somerled",Notre-Dame-de-Grâce (NDG),,(514) 439-2580,1.5,Coréenne,,,,,,
Mon Ami Express,"6922, rue Sherbrooke O.",Côte-des-Neiges,,(514) 482-1731,1,Coréenne,Barbecue-BBQ,,,,,
Pains et Saveurs,"5959, boul. Cousineau",Saint-Hubert,,(450) 890-3441,1,Café,Bistro,Desserts et Sucreries,Déjeuner,Pâtisserie,,
Pains et Saveurs,"2130, boul. de Boucherville",Saint-Bruno-de-Montarville,,(450) 441-4155,1,Café,Bistro,Desserts et Sucreries,Déjeuner,Pâtisserie,,
Pains et Saveurs,"2000, ave. Victoria",Greenfield Park,Saint-Lambert,(450) 486-1717,1,Café,Bistro,Desserts et Sucreries,Déjeuner,Pâtisserie,,
Ben & Florentine,"2055, boul. St-Martin O",Chomedey,,(450) 686-1116,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"203, boul. Curé Labelle",Sainte-Thérèse,,(450) 430-9696,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"1215, rue Mansfield",Centre-ville,,(514) 395-0222,1,Déjeuner,Crêperie,Espagnole,,,,
Ben & Florentine,"584, montee Masson",Mascouche,,(450) 474-8000,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"3555, boul. Saint-Charles",Kirkland,,(514) 505-4855,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"11618, boul. de Salaberry",Dollard-des-Ormeaux,,(514) 685-8555,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"2817, ave. des Aristocrates",Vimont,Duvernay,(450) 661-7375,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"1133, boul. Armand-Frappier, Suite 101-B",Sainte-Julie,,(450) 922-7770,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"2645, boul. du Curé Labelle",Prévost,,(450) 335-1335,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"1928, boul. Thimens",Ville Saint-Laurent,,(514) 956-8888,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"6835, boul. Taschereau",Brossard,,(450) 486-6872,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"1173, Montée des Pionniers",Terrebonne/Lachenaie,,(450) 582-6500,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"300, chemin du Golf",Île des Soeurs,Verdun/Lasalle,(514) 768-9222,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"2182, rue du Colisée",Longueuil,,(450) 448-7921,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"1340, boul. Casavant E",Saint-Hyacinthe,,(450) 250-6066,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"1105, boul. René-Lévesque",Drummondville,,(819) 478-8888,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"2356, chemin Lucerne",Ville Mont-Royal,,(514) 733-7337,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"210, boul. Jean-Leman",Candiac,,(450) 907-3737,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"1900, boul. Monseigneur Langlois",Salaberry-de-Valleyfield,,(450) 377-8484,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"48, boul. de la Cite-des-Jeunes",Vaudreuil-Dorion,,(450) 455-0303,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"540, rue d'Avaugour - Suite 200C-1900",Boucherville,,(450) 449-2291,1,Déjeuner,Crêperie,Sandwichs,,,,
Ben & Florentine,"1082, rang St-Francois",Terrebonne/Lachenaie,,(450) 818-7337,1,Déjeuner,Crêperie,Sandwichs,,,,
Jack Astor's,"3556, boul. Taschereau",Greenfield Park,Longueuil,(450) 671-4444,1.5,Américaine,Steakhouse,Burgers,,,,
Jack Astor's,"3395, ave. des Grandes Tourelles",Boisbriand,,(450) 419-9785,1.5,Américaine,Steakhouse,Burgers,,,,
Jack Astor's,"3051, boul. des Sources",Dorval,Dollard-des-Ormeaux,(514) 685-5225,2,Américaine,Steakhouse,Burgers,,,,
Jack Astor's,"1820, ave. Pierre-Péladeau",Chomedey,Centropolis,(450) 681-6683,1.5,Américaine,Steakhouse,Burgers,,,,
Buffet Vichy,"7205, boul. Newman",Verdun/Lasalle,,(514) 367-1731,1,Internationale,,,,,,
Buffet Vichy,"2901, boul. Taschereau",Saint-Hubert,Longueuil,(450) 465-0519,1,Internationale,,,,,,
Vinnie Gambini's,"582, chemin de Tourraine",Boucherville,,**FERMÉ**,2,Italienne,Grillades,Salades,,,,
Vinnie Gambini's,"3360, ave. des Grandes Tourelles",Boisbriand,,(450) 420-5000,2,Italienne,,,,,,
Vinnie Gambini's,"5660, rue Sherbrooke E",Hochelaga-Maisonneuve,Montréal-Est,(514) 252-4446,2,Italienne,,,,,,
Vinnie Gambini's,"951, boul. Crémazie Ouest",Ahuntsic-Cartierville,,(514) 387-8464,2,Italienne,,,,,,
Mia Pasta,"1824, rue King O",Sherbrooke,,(819) 829-1111,1,Pâtes,Pizza,Salades,Asiatique,,,
Mia Pasta,"5581, boul. Laurier, suite 100",Terrebonne/Lachenaie,,(450) 918-4438,1,Pâtes,Pizza,Salades,Asiatique,,,
Mia Pasta,"1434, boul. Casavant E",Saint-Hyacinthe,,(450) 250-2700,1,Pâtes,Pizza,Salades,Asiatique,,,
Mia Pasta,"2791, ave. Claude-Léveillée",Terrebonne/Lachenaie,,(450) 477-7642,1,Pâtes,Pizza,Salades,Asiatique,,,
Marathon Souvlaki,"3938, boul. Notre-Dame",Chomedey,,(450) 681-7385,1,Grecque,,,,,,
Marathon Souvlaki,"3940, boul. Notre-Dame",Chomedey,,(450) 681-9449,1,Grecque,,,,,,
Marathon Souvlaki,"3313, boul. des Sources",Dollard-des-Ormeaux,,(514) 421-5825,1,Grecque,,,,,,
Marathon Souvlaki,"5365, rue des Jockeys",Côte-Saint-Luc,,(514) 731-6455,1,Grecque,,,,,,
5000 Ans,"3441, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 845-8902,2,Coréenne,Végétarienne,,,,,
5000 Ans,"5737, ave.  Monkland",Côte-des-Neiges,,(514) 489-7565,2,Coréenne,,,,,,
5000 Ans,"2176A, rue Ste-Catherine O",Centre-ville,Westmount,(514) 932-7565,2,Coréenne,,,,,,
Bilboquet,"4864, rue Sherbrooke O.",Westmount,,(514) 369-1118,1,Crème glacée,Sandwichs,,,,,
Bilboquet,"1311, ave. Bernard",Outremont,,(514) 276-0414,1,Crème glacée,Sandwichs,,,,,
Bilboquet,"1600, ave. Laurier E",Le Plateau-Mont-Royal,,(514) 439-6501,1,Crème glacée,Sandwichs,,,,,
Bilboquet,"9190, boul. Leduc  no. 110",Quartier Dix30,Brossard,(579) 720-7330,1,Crème glacée,,,,,,
Bilboquet,"309-C, chemin du Bord-du-Lac",Pointe-Claire,,(514) 505-0680,1,Crème glacée,Sandwichs,,,,,
Bilboquet,"600, Promenade du Centropolis",Centropolis,Chomedey,(450) 934-7724,1,Crème glacée,Sandwichs,,,,,
Amir,"4483, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 282-7778,1,Méditerranéenne,Libanaise,,,,,
Amir,"1205, rue Notre-Dame O",Griffintown,Centre-ville,(514) 509-7779,1,Méditerranéenne,Libanaise,,,,,
Amir,"1858 D, boul. des Sources",Pointe-Claire,Dollard-des-Ormeaux,(514) 630-4000,1,Méditerranéenne,Libanaise,,,,,
Amir,"48, boul. de la Cité Des Jeunes",Vaudreuil-Dorion,,(450) 510-2647,1,Méditerranéenne,Libanaise,,,,,
Amir,"1580, boul. Curé-Labelle",Chomedey,,(450) 681-6100,1,Méditerranéenne,Libanaise,,,,,
Amir,"1333, boul. de Maisonneuve",Centre-ville,,(514) 999-9201,1,Méditerranéenne,Libanaise,,,,,
Amir,"1216, rue Yves-Blais",Terrebonne/Lachenaie,,(450) 585-7000,1,Méditerranéenne,Libanaise,,,,,
Amir,"2157, boul. des Laurentides",Vimont,Auteuil,(450) 669-4111,1,Méditerranéenne,Libanaise,,,,,
Amir,"6365, rue Sherbrooke O",Notre-Dame-de-Grâce (NDG),,(514) 481-5559,1,Méditerranéenne,Libanaise,,,,,
B & M Restaurant,"120, rue Saint Viateur O",Mile-End,,(514) 223-9255,1,Déjeuner,Internationale,Poutine,,,,
B & M Restaurant,"5800, rue Sherbrooke O",Monkland Village,Notre-Dame-de-Grâce (NDG),(514) 484-4959,1.5,Pizza,Internationale,Poutine,,,,
B & M Restaurant,"6200, ave. Somerled",Notre-Dame-de-Grâce (NDG),,(514) 488-1555,1.5,Déjeuner,Internationale,Poutine,,,,
Café République,"93, rue Ste-Catherine O",Centre-ville,Quartier des Spectacles,(514) 840-0000,1,Café,Bistro,,,,,
Café République,"1200, rue Peel",Centre-ville,,(514) 875-1200,1,Café,Bistro,,,,,
Café République,"1429, rue Crescent",Rue Crescent,Centre-ville,(514) 845-5999,1,Café,Bistro,,,,,
Grillades Torino,"845, rue Ste-Catherine E",Le Village/Centre Sud,,(514) 419-4889,1,Grillades,Méditerranéenne,,,,,
Grillades Torino,"8015, boul. du Quartier #101",Brossard,,(450) 462-6868,1,Grillades,Méditerranéenne,,,,,
L'Avenue,"922, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 523-8780,2,Déjeuner,Bistro,,,,,
L'Avenue,"3612, rue Notre-Dame O.",Saint-Henri,Le Sud Ouest,,2,Déjeuner,Bistro,,,,,
Wok Cafe,"3510, boul. des Sources",Dollard-des-Ormeaux,,(514) 683-8883,1.5,Asiatique,Fusion,Chinoise,Szechuannaise,Thaïlandaise,Vietnamienne,
Wok Café,"3, Place du Commerce",Brossard,,**FERMÉ**,1.5,Asiatique,Fusion,Chinoise,Szechuannaise,Thaïlandaise,Vietnamienne,
Wok Cafe,"1845, rue Ste-Catherine O",Centre-ville,,(514) 938-3782,1.5,Asiatique,Fusion,Chinoise,Szechuannaise,Thaïlandaise,Vietnamienne,
Sushi Yasu,"1200, boul. Rome",Brossard,,(450) 465-8383,2,Japonaise,Sushi,,,,,
Sushi Yasu,"835, chemin de St-Jean",La Prairie,,(450) 659-1239,2,Japonaise,Sushi,,,,,
Café Eclipse,"1130, rue Sherbrooke O",Centre-ville,,(514) 287-6553,1,Café,,,,,,
Café Eclipse,"4700, rue de la Savane",Ahuntsic-Cartierville,,(514) 736-5108,1,Café,,,,,,
Amara,"1771, rue Grenet",Ahuntsic-Cartierville,,(514) 748-7770,1,Libanaise,,,,,,
Amara,"751, boul. de la Côte-Vertu",Ville Saint-Laurent,Ahuntsic-Cartierville,(514) 303-7927,1,Fruits de mer/Poissons,,,,,,
Coco Frutti,"1425, boul. Firestone",Joliette,,(450) 759-0201,1,Déjeuner,Crêperie,,,,,
Coco Frutti,"1355,boul. Michèle-Bohec",Blainville,,(450) 430-0444,1,Déjeuner,Crêperie,,,,,
Coco Frutti,"6250, boul. Cousineau",Saint-Hubert,Longueuil,(450) 656-4888,1,Déjeuner,Crêperie,,,,,
Coco Frutti,"4857, boul. Bourque",Sherbrooke,,(819) 572-8999,,Afghane,Crêperie,,,,,
Coco Frutti,"3061, boul. de la Gare",Vaudreuil-Dorion,,(450) 455-2777,1,Déjeuner,Café,Crêperie,Sandwichs,Salades,Pâtes,Fish & Chips
Pizzeria Magpie,"16, rue Maguire",Mile-End,Outremont,(514) 507-2900,2,Pizza,Italienne,,,,,
Pizzeria Magpie,"1237, rue Amherst",Le Village/Centre Sud,,(514) 544-2900,2,Pizza,Italienne,,,,,
Mamie Clafoutis,"105, chemin de la Pointe-Nord",Île des Soeurs,,(514) 508-8800,1,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,
Mamie Clafoutis,"4093, rue Molson",Rosemont-Petite-Patrie,,(438) 384-7225,1,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,
Mamie Clafoutis,"2660, rue Notre-Dame O",Petite-Bourgogne,,(514) 303-1511,1,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,
Mamie Clafoutis,"1602, rue Fleury E",Ahuntsic-Cartierville,,(438) 385-1602,1,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,
Mamie Clafoutis,"3660, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(438) 380-5624,1,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,
Mamie Clafoutis,"1291, ave. Van Horne",Outremont,,(514) 750-7245,1.5,Café,Maison de thé,Pâtisserie,Sandwichs,Salades,,
Sushi Time,"4534, rue Wellington",Verdun/Lasalle,,(514) 362-9888,1,Sushi,,,,,,
Sushi Time,"3129, rue Masson",Vieux-Rosemont,Rosemont-Petite-Patrie,(514) 725-8181,1,Sushi,,,,,,
Soupesoup,"2183, rue Crescent",Centre-ville,,(514) 903-8628,1,Réconfort,Santé,Sandwichs,,,,
Soupesoup,"649, rue Wellington",Vieux-Montréal,,(514) 759-1159,1,Réconfort,Santé,Déjeuner,Sandwichs,Grilled Cheese,,
SoupeSoup,"1228, rue St-Denis",Quartier Latin,Le Village/Centre Sud,(514) 544-4004,1,Réconfort,Santé,Sandwichs,,,,
Soupesoup,"174, rue Saint-Viateur O",Mile-End,Outremont,**FERMÉ**,1,Réconfort,Santé,Sandwichs,,,,
Soupesoup,"80, ave. Duluth E",Le Plateau-Mont-Royal,Avenue Duluth,(514) 380-0880,1,Réconfort,Santé,Sandwichs,,,,
Soupesoup,"7020, ave. Casgrain",Petite-Italie,Rosemont-Petite-Patrie,(514) 903-2113,1,Réconfort,Santé,Sandwichs,,,,
Soupesoup,"5333, ave. Casgrain",Mile-End,,(514) 272-5004,1,Réconfort,Santé,Sandwichs,,,,
Café Dépôt,"1, Place Ville Marie",Centre-ville,,(514) 871-4919,1,Café,Sandwichs,,,,,
Café Dépôt,"7999, boul. des Galeries D'Anjou",Anjou-St-Léonard,Montréal-Est,(514) 493-6185,1,Café,Sandwichs,,,,,
Café Dépôt,"630, boul. René-Lévesque O",Centre-ville,Quartier des Spectacles,(514) 878-3347,1,Café,Sandwichs,,,,,
Café Dépôt,"383, rue St-Jacques O",Vieux-Montréal,,(514) 840-1011,1,Café,Sandwichs,,,,,
Café Dépôt,"1695, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 522-9555,1,Café,Sandwichs,,,,,
Café Dépôt,"3237, boul. des Sources",Dollard-des-Ormeaux,,(514) 683-7000,1,Café,Sandwichs,,,,,
Café Dépôt,"1250, boul. René-Lévesque O",Centre-ville,,(514) 932-6158,1,Café,Sandwichs,,,,,
Café Dépôt,"3035, boul. Le carrefour",Chomedey,,(450) 973-1791,1,Café,Sandwichs,,,,,
Café Dépôt,"1490, boul. de Maisonneuve O",Centre-ville,,(514) 931-1570,1,Café,Sandwichs,,,,,
Café Depot,"4910, boul. St-Laurent",Le Plateau-Mont-Royal,,(514) 284-6866,1,Café,,,,,,
Café Dépôt,"1677, boul. St-Martin O",Chomedey,,(450) 681-3323,1,Café,Sandwichs,,,,,
Café Dépôt,"2305, chemin Rockland",Ville Mont-Royal,,(514) 733-6367,1,Café,Sandwichs,,,,,
Café Dépôt,"845, rue Ste-Catherine E",Le Village/Centre Sud,,(514) 849-9808,1,Café,Sandwichs,,,,,
Café Dépôt,"3601, boul. St-Laurent",Boul. St-Laurent/Main,Le Plateau-Mont-Royal,(514) 285-0009,1,Café,Sandwichs,,,,,
Café Dépôt,"1200, ave. McGill Collège",Centre-ville,,(514) 861-0339,1,Café,Sandwichs,,,,,
Café Dépôt,"162, boul. Curé Labelle",Rosemère,,(450) 434-9693,1,Café,Sandwichs,,,,,
Vincent Sous-Marins,"11851, rue Notre-Dame E",RDP-Pointe-aux-Trembles,Montréal-Est,(514) 645-2329,1,Pizza,Pâtes,,,,,
Vincent Sous-Marins,"3855, rue Ste-Catherine E",Hochelaga-Maisonneuve,Montréal-Est,(514) 526-6606,1,Pizza,Pâtes,,,,,
Vincent Sous-Marins,"4031, boul. Henri-Bourassa E",Montréal-Nord,,(514) 326-3333,1,Pizza,Pâtes,,,,,
Vincent Sous-Marins,"6005, boul. Robert",Anjou-St-Léonard,Montréal-Est,(514) 323-8694,1,Pizza,Pâtes,,,,,
Vincent Sous-Marins,"6649, rue de Marseille",Hochelaga-Maisonneuve,Montréal-Est,(514) 899-9999,1,Pizza,Pâtes,,,,,
Vincent Sous-Marins,"7171, rue St-Hubert",Villeray-Saint-Michel,,(514) 274-4767,1,Pizza,Pâtes,,,,,
Vincent Sous-Marins,"1711, rue Thierry",Ville-Émard,Verdun/Lasalle,(514) 779-3333,,Pizza,Pâtes,,,,,
Vincent Sous-Marins,"644, boul. Ste-Foy",Longueuil,Vieux Longueuil,(450) 463-0000,1,Pizza,Pâtes,,,,,
Arahova Souvlaki & Sports Bar,"1814, boul. Cote-Vertu",Ville Saint-Laurent,Ahuntsic-Cartierville,(514) 856-3695,1.5,Grecque,Salades,Grillades,Méditerranéenne,,,
Arahova Souvlaki,"8051, boul. Newman",Verdun/Lasalle,,(514) 366-3555,2,Grecque,,,,,,
Arahova Souvlaki,"256, rue St-Viateur O",Mile-End,Le Plateau-Mont-Royal,(514) 274-7828,1,Grecque,,,,,,
Arahova Souvlaki,"198, montée Masson",Mascouche,,**FERMÉ**,1,Grecque,,,,,,
Arahova Souvlaki,"9705, boul. de l'Acadie",Ahuntsic-Cartierville,,**FERMÉ**,1,Grecque,,,,,,
Arahova Souvlaki,"1357, boul. Cure-Labelle",Chomedey,,(450) 688-3535,1,Grecque,,,,,,
Arahova Souvlaki,"480, boul. St-Laurent",Vieux-Montréal,,(514) 282-9717,1,Grecque,,,,,,
Arahova Souvlaki,"8335, boul. Langelier",Anjou-St-Léonard,,**FERMÉ**,1,Grecque,,,,,,
Arahova Souvlaki,"6150, boul. Taschereau",Longueuil,Greenfield Park,(450) 926-3535,1,Grecque,,,,,,
Le Ranch du Spaghetti,"4210, boul. Bourque",Sherbrooke,,(819) 575-1444,2,Pâtes,Pizza,Grillades,,,,
Le Ranch du Spaghetti,"3005, chemin Milletta",Magog,,(819) 847-4091,2,Pâtes,Pizza,Grillades,,,,
F+F Pizza,"5175-D, rue Sherbrooke O",Westmount,,**FERMÉ**,1,Pizza,Salades,,,,,
F+F Pizza,"4400, rue Notre-Dame O",Saint-Henri,Le Sud Ouest,(514) 508-0801,1,Pizza,Salades,,,,,
F+F Pizza,"1298, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 507-5033,1,Pizza,Salades,,,,,
F+F Pizza,"4505, rue St-Denis",Le Plateau-Mont-Royal,,**FERMÉ**,1,Pizza,Salades,,,,,
F+F Pizza,"7, place du Commerce",Île des Soeurs,Verdun/Lasalle,(514) 769-1000,1,Pizza,Salades,,,,,
F+F Pizza,"2810, rue Masson",Rosemont-Petite-Patrie,,(514) 507-2507,1,Pizza,Salades,,,,,
F+F Pizza,"1489, rue Ste-Catherine E",Le Village/Centre Sud,,(438) 382-3688,1,Pizza,Salades,,,,,
Pizza Hut,"2141, boul des Laurentides",Vimont,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"1950, rue Léonard-de Vinci",Sainte-Julie,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"7065, boul.  Langelier",Anjou-St-Léonard,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"1837, chemin Gascon",Terrebonne/Lachenaie,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"75, rue de la Gare",Saint-Sauveur,,**FERMÉ**,1,Pizza,,,,,,
Pizza Hut,"2054, boul. du Curé-Labelle",Saint-Jérôme,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"8255, boul. Taschereau",Brossard,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"7551, boul. Newman",Verdun/Lasalle,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"14140, boul. Pierrefonds",Pierrefonds-Roxboro,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"484, 25e avenue",Saint-Eustache,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"5345, rue Vézina",Notre-Dame-de-Grâce (NDG),Côte-des-Neiges,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"324, boul. Labelle",Sainte-Thérèse,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"3575, boul. Taschereau",Greenfield Park,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"1275, rue Johnson",Saint-Hyacinthe,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"4689, rue Jean-Talon E",Anjou-St-Léonard,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"99, boul. Saint-Jean-Baptiste",Châteauguay,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"2762, boul. Saint-Charles",Kirkland,,**FERMÉ**,1,Pizza,,,,,,
Pizza Hut,"1700, boul. des Laurentides",Pont Viau,,**FERMÉ**,1,Pizza,,,,,,
Pizza Hut,"920, rue Douglas",St-Jean-Sur-Richelieu,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"670, rue Principale",Sainte-Agathe-des-Monts,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"475, boul. St-Joseph",Drummondville,,(514) 310-1010,1,Pizza,,,,,,
Pizza Hut,"12920, rue Sherbrooke E",RDP-Pointe-aux-Trembles,,**FERMÉ**,1,Pizza,,,,,,
Mi Ranchito,"4565, rue Bélanger",Montréal-Est,,(514) 727-7778,2,Mexicaine,,,,,,
Mi Ranchito,"1486, rue de L'Église",Ville Saint-Laurent,,(514) 747-7765,2,Mexicaine,,,,,,
Barbie's Bar and Grill,"260, montée Masson",Mascouche,,(450) 918-3118,2,Grillades,Deli,,,,,
Barbie's Bar and Grill,"580, boul. St-Martin O",Chomedey,,(450) 668-0033,2,Grillades,Deli,,,,,
Barbie's Bar and Grill,"7850, boul. Taschereau",Brossard,,(450) 672-2233,2,Grillades,Deli,,,,,
Barbie's Bar and Grill,"7325, boul. Langelier",Anjou-St-Léonard,,**FERMÉ**,2,Grillades,Deli,,,,,
Barbie's Bar and Grill,"15, boul Bouchard",Dorval,,(514) 631-2233,2,Grillades,Deli,,,,,
La Panthere Verte,"145, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 503-4800,1,Sandwichs,Bio,Santé,Végétarienne,Végétalienne,Bar à jus et smoothies,
La Panthère Verte,"5265, chemin Queen Mary",Côte-des-Neiges,Notre-Dame-de-Grâce (NDG),(438) 386-4449,1,Sandwichs,Bio,Santé,Végétalienne,Végétarienne,Bar à jus et smoothies,
La Panthere Verte,"160, rue St-Viateur E",Le Plateau-Mont-Royal,Mile-End,(514) 508-5564,1,Sandwichs,Bio,Santé,Végétarienne,Végétalienne,Bar à jus et smoothies,
La Panthere Verte,"2153, rue Mackay",Centre-ville,,(514) 903-4744,1,Sandwichs,Bio,Santé,Végétarienne,Végétalienne,Bar à jus et smoothies,
La Panthere Verte,"1735, rue St-Denis",Quartier Latin,Rue St-Denis,(514) 303-1313,1,Sandwichs,Bio,Santé,Végétarienne,Végétalienne,Bar à jus et smoothies,
La Panthère Verte,3515 ave. Lacombe,Côte-des-Neiges,,(438) 387-1848,1,Sandwichs,Bio,Santé,Végétarienne,Végétalienne,Bar à jus et smoothies,
Pains et Saveurs,"5959, boul. Cousineau",Saint-Hubert,,(450) 890-3441,1,Café,Bistro,Desserts et Sucreries,Déjeuner,Pâtisserie,,
Pains et Saveurs,"2130, boul. de Boucherville",Saint-Bruno-de-Montarville,,(450) 441-4155,1,Café,Bistro,Desserts et Sucreries,Déjeuner,Pâtisserie,,
Pains et Saveurs,"2000, ave. Victoria",Greenfield Park,Saint-Lambert,(450) 486-1717,1,Café,Bistro,Desserts et Sucreries,Déjeuner,Pâtisserie,,
Arousse,"2, rue Blainville O.",Sainte-Thérèse,,(450) 437-8777,1,Libanaise,,,,,,
Arousse,"7, rue de la Gare",Saint-Jérôme,,(450) 438-3128,1,Libanaise,,,,,,
Méchant Steak,"111, rue Wellington N",Sherbrooke,,(819) 791-5544,2.5,Steakhouse,Grillades,Déjeuner,,,,
Méchant Steak,"468, rue Principale O",Magog,,(819) 843-0044,2.5,Steakhouse,Grillades,,,,,
Daou,"519, rue Faillon E",Villeray-Saint-Michel,,(514) 276-8310,2,Moyen Orientale,Libanaise,,,,,
Daou,"2373, boul. Marcel-Laurin",Ville Saint-Laurent,,(514) 334-1199,2,Moyen Orientale,Libanaise,,,,,
Les Moulins La Fayette,"1215-Local130, chemin du Tremblay",Longueuil,,(450) 332-2777,1,Café,Bistro,Pâtisserie,Sandwichs,Salades,Desserts et Sucreries,Marché
Les Moulins La Fayette,"381, Grand Boulevard",Île Perrot/Pincourt,,(514) 646-0833,1,Café,Bistro,Pâtisserie,Sandwichs,Salades,Desserts et Sucreries,Marché
Les Moulins La Fayette,"1330-Suite102, boul. Monseigneur-Langlois",Salaberry-de-Valleyfield,,(450) 371-8080,1,Café,Bistro,Pâtisserie,Sandwichs,Salades,Desserts et Sucreries,Marché
Les Moulins La Fayette,"1481, ave. du Mont-Royal E",Le Plateau-Mont-Royal,,(514) 439-2026,1,Café,Bistro,Pâtisserie,Sandwichs,Salades,Desserts et Sucreries,Marché
Les Moulins La Fayette,"250, rue Sherbrooke O",Centre-ville,Quartier des Spectacles,(514) 845-2000,1,Café,Bistro,Pâtisserie,Sandwichs,Salades,Desserts et Sucreries,Marché
